cellId	taskId	executor	launchTime	duration	size	records	appId	stageId
51	25689	mr-12:12	2021/05/06 21:42:41	1	0	0	application_1615435002078_0443	10
67	25641	mr-02:6	2021/05/06 21:42:35	1	4800000	2	application_1615435002078_0443	10
145	25685	mr-12:2	2021/05/06 21:42:38	0.9	0	0	application_1615435002078_0443	10
153	25686	mr-12:2	2021/05/06 21:42:38	0.8	0	0	application_1615435002078_0443	10
156	25688	mr-02:6	2021/05/06 21:42:38	0.8	0	0	application_1615435002078_0443	10
140	25682	mr-12:2	2021/05/06 21:42:37	0.6	16600000.000000002	2	application_1615435002078_0443	10
71	25647	mr-04:5	2021/05/06 21:42:35	0.4	671000	2	application_1615435002078_0443	10
155	25687	mr-02:6	2021/05/06 21:42:38	0.3	4300000	2	application_1615435002078_0443	10
140	25707	mr-12:12	2021/05/06 21:42:43	0.2	0	0	application_1615435002078_0443	10
166	25709	mr-12:12	2021/05/06 21:42:43	0.2	0	0	application_1615435002078_0443	10
157	25708	mr-12:12	2021/05/06 21:42:43	0.2	0	0	application_1615435002078_0443	10
1	25575	mr-02:6	2021/05/06 21:42:35	0.2	96	2	application_1615435002078_0443	10
23	25597	mr-02:6	2021/05/06 21:42:35	0.2	96	2	application_1615435002078_0443	10
56	25630	mr-02:6	2021/05/06 21:42:35	0.2	96	2	application_1615435002078_0443	10
18	25590	mr-12:2	2021/05/06 21:42:35	0.1	96	2	application_1615435002078_0443	10
29	25601	mr-12:2	2021/05/06 21:42:35	0.1	96	2	application_1615435002078_0443	10
19	25585	mr-10:1	2021/05/06 21:42:35	0.1	52	2	application_1615435002078_0443	10
40	25612	mr-12:2	2021/05/06 21:42:35	0.1	96	2	application_1615435002078_0443	10
138	25681	mr-12:2	2021/05/06 21:42:37	0.082	104400	2	application_1615435002078_0443	10
20	50375	mr-08:11	2021/05/06 21:47:11	32	0	0	application_1615435002078_0444	10
42	50397	mr-08:11	2021/05/06 21:47:11	32	0	0	application_1615435002078_0444	10
86	50441	mr-08:11	2021/05/06 21:47:11	32	0	0	application_1615435002078_0444	10
75	50430	mr-08:11	2021/05/06 21:47:11	32	0	0	application_1615435002078_0444	10
97	50452	mr-08:11	2021/05/06 21:47:11	32	0	0	application_1615435002078_0444	10
