metric	mean	max	appId	stageId
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0580	10
Input Size / Records	1400.8 KB / 7754	6.6 MB / 28771	application_1615435002078_0580	10
Duration	1 s	35 s	application_1615435002078_0581	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0581	10
Task Deserialization Time	34 ms	2 s	application_1615435002078_0581	10
GC Time	83 ms	4 s	application_1615435002078_0581	10
Result Serialization Time	0 ms	6 ms	application_1615435002078_0581	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0581	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0581	10
Input Size / Records	1573.3 KB / 8688	7.4 MB / 32534	application_1615435002078_0581	10
Duration	2 s	52 s	application_1615435002078_0582	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0582	10
Task Deserialization Time	31 ms	2 s	application_1615435002078_0582	10
GC Time	94 ms	5 s	application_1615435002078_0582	10
Result Serialization Time	0 ms	12 ms	application_1615435002078_0582	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0582	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0582	10
Input Size / Records	1716.6 KB / 9518	8.0 MB / 36072	application_1615435002078_0582	10
Duration	2 s	53 s	application_1615435002078_0583	10
Scheduler Delay	4 ms	0.2 s	application_1615435002078_0583	10
Task Deserialization Time	29 ms	2 s	application_1615435002078_0583	10
GC Time	0.1 s	5 s	application_1615435002078_0583	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0583	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0583	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0583	10
Input Size / Records	1885.6 KB / 10404	8.9 MB / 38526	application_1615435002078_0583	10
Duration	2 s	1.6 min	application_1615435002078_0584	10
Scheduler Delay	5 ms	0.1 s	application_1615435002078_0584	10
Task Deserialization Time	26 ms	1 s	application_1615435002078_0584	10
GC Time	0.1 s	7 s	application_1615435002078_0584	10
Result Serialization Time	0 ms	11 ms	application_1615435002078_0584	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0584	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0584	10
Input Size / Records	2032.9 KB / 11232	9.5 MB / 41746	application_1615435002078_0584	10
Duration	2 s	1.2 min	application_1615435002078_0585	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0585	10
Task Deserialization Time	25 ms	2 s	application_1615435002078_0585	10
GC Time	0.1 s	7 s	application_1615435002078_0585	10
Result Serialization Time	0 ms	8 ms	application_1615435002078_0585	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0585	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0585	10
Input Size / Records	2.1 MB / 11890	10.1 MB / 44856	application_1615435002078_0585	10
Duration	3 s	1.8 min	application_1615435002078_0586	10
Scheduler Delay	5 ms	0.1 s	application_1615435002078_0586	10
Task Deserialization Time	23 ms	2 s	application_1615435002078_0586	10
GC Time	0.2 s	7 s	application_1615435002078_0586	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0586	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0586	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0586	10
Input Size / Records	2.2 MB / 12624	10.7 MB / 47880	application_1615435002078_0586	10
Duration	0.1 s	6 s	application_1615435002078_0559	10
Scheduler Delay	4 ms	0.2 s	application_1615435002078_0559	10
Task Deserialization Time	0.2 s	2 s	application_1615435002078_0559	10
GC Time	0 ms	2 s	application_1615435002078_0559	10
Result Serialization Time	0 ms	8 ms	application_1615435002078_0559	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0559	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0559	10
Input Size / Records	310.2 KB / 1808	1668.7 KB / 7390	application_1615435002078_0559	10
Duration	0.2 s	6 s	application_1615435002078_0560	10
Scheduler Delay	4 ms	0.3 s	application_1615435002078_0560	10
Task Deserialization Time	0.1 s	2 s	application_1615435002078_0560	10
GC Time	0 ms	2 s	application_1615435002078_0560	10
Result Serialization Time	0 ms	10 ms	application_1615435002078_0560	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0560	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0560	10
Input Size / Records	462.1 KB / 2630	2.3 MB / 10146	application_1615435002078_0560	10
Duration	0.4 s	11 s	application_1615435002078_0561	10
Scheduler Delay	4 ms	0.2 s	application_1615435002078_0561	10
Task Deserialization Time	84 ms	3 s	application_1615435002078_0561	10
GC Time	0 ms	3 s	application_1615435002078_0561	10
Result Serialization Time	0 ms	13 ms	application_1615435002078_0561	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0561	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0561	10
Input Size / Records	620.1 KB / 3442	3.0 MB / 13136	application_1615435002078_0561	10
Duration	0.5 s	13 s	application_1615435002078_0562	10
Scheduler Delay	4 ms	1.0 s	application_1615435002078_0562	10
Task Deserialization Time	67 ms	2 s	application_1615435002078_0562	10
GC Time	37 ms	2 s	application_1615435002078_0562	10
Result Serialization Time	0 ms	21 ms	application_1615435002078_0562	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0562	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0562	10
Input Size / Records	775.5 KB / 4256	3.7 MB / 16390	application_1615435002078_0562	10
Duration	0.6 s	14 s	application_1615435002078_0563	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0563	10
Task Deserialization Time	56 ms	1 s	application_1615435002078_0563	10
GC Time	42 ms	2 s	application_1615435002078_0563	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0563	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0563	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0563	10
Input Size / Records	923.6 KB / 5106	4.3 MB / 19184	application_1615435002078_0563	10
Duration	0.8 s	23 s	application_1615435002078_0564	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0564	10
Task Deserialization Time	48 ms	1 s	application_1615435002078_0564	10
GC Time	51 ms	3 s	application_1615435002078_0564	10
Result Serialization Time	0 ms	63 ms	application_1615435002078_0564	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0564	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0564	10
Input Size / Records	1080.7 KB / 5966	5.1 MB / 23014	application_1615435002078_0564	10
Duration	1 s	26 s	application_1615435002078_0565	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0565	10
Task Deserialization Time	42 ms	1 s	application_1615435002078_0565	10
GC Time	57 ms	3 s	application_1615435002078_0565	10
Result Serialization Time	0 ms	9 ms	application_1615435002078_0565	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0565	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0565	10
Input Size / Records	1258.5 KB / 7002	5.8 MB / 25836	application_1615435002078_0565	10
Duration	1 s	32 s	application_1615435002078_0566	10
Scheduler Delay	4 ms	2 s	application_1615435002078_0566	10
Task Deserialization Time	38 ms	2 s	application_1615435002078_0566	10
GC Time	67 ms	4 s	application_1615435002078_0566	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0566	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0566	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0566	10
Input Size / Records	1401.7 KB / 7754	6.4 MB / 28771	application_1615435002078_0566	10
Duration	1 s	37 s	application_1615435002078_0567	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0567	10
Task Deserialization Time	34 ms	1 s	application_1615435002078_0567	10
GC Time	82 ms	5 s	application_1615435002078_0567	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0567	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0567	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0567	10
Input Size / Records	1573.3 KB / 8688	7.4 MB / 32534	application_1615435002078_0567	10
Duration	2 s	40 s	application_1615435002078_0568	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0568	10
Task Deserialization Time	31 ms	2 s	application_1615435002078_0568	10
GC Time	94 ms	5 s	application_1615435002078_0568	10
Result Serialization Time	0 ms	10 ms	application_1615435002078_0568	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0568	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0568	10
Input Size / Records	1707.6 KB / 9518	7.9 MB / 36072	application_1615435002078_0568	10
Duration	2 s	42 s	application_1615435002078_0569	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0569	10
Task Deserialization Time	28 ms	2 s	application_1615435002078_0569	10
GC Time	0.1 s	5 s	application_1615435002078_0569	10
Result Serialization Time	0 ms	13 ms	application_1615435002078_0569	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0569	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0569	10
Input Size / Records	1887.3 KB / 10404	8.8 MB / 38526	application_1615435002078_0569	10
Duration	2 s	1.7 min	application_1615435002078_0570	10
Scheduler Delay	4 ms	0.2 s	application_1615435002078_0570	10
Task Deserialization Time	26 ms	1 s	application_1615435002078_0570	10
GC Time	0.1 s	7 s	application_1615435002078_0570	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0570	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0570	10
